graph6,source,n,degree,expected_i,ilp_i,i_set,expected_mu,ilp_mu,mu_matching,independent,dominates,matching_ok,maximal,agree
Gs`zro,structured_families_n_le_18,8,4,4,4,0;5;6;7,4,4,0-3;1-5;2-6;4-7,1,1,1,1,1
G~~~~{,geng_n_le_9,8,7,1,1,0,4,4,0-4;1-2;3-6;5-7,1,1,1,1,1
H?bB@_W,geng_n_le_9,9,2,3,3,0;3;6,3,3,0-4;1-6;3-7,1,1,1,1,1
H?zTv`s,geng_n_le_9,9,4,2,2,3;4,3,3,0-7;4-6;5-8,1,1,1,1,1
H?zVf_{,geng_n_le_9,9,4,2,2,3;4,4,4,0-5;1-6;2-4;3-7,1,1,1,1,1
HCXk~bo,geng_n_le_9,9,4,2,2,0;4,3,3,0-8;3-7;4-5,1,1,1,1,1
HCY^N`w,geng_n_le_9,9,4,2,2,0;4,3,3,0-3;1-6;2-4,1,1,1,1,1
HCZTv`k,geng_n_le_9,9,4,2,2,2;5,3,3,0-3;1-4;2-8,1,1,1,1,1
HCZVRqs,geng_n_le_9,9,4,2,2,2;5,3,3,0-3;1-4;2-8,1,1,1,1,1
HCZbmqw,geng_n_le_9,9,4,2,2,2;7,3,3,1-7;2-5;3-8,1,1,1,1,1
HCpvRqs,geng_n_le_9,9,4,2,2,3;6,3,3,0-3;1-4;2-8,1,1,1,1,1
HCpvV_{,geng_n_le_9,9,4,2,2,3;6,3,3,0-3;1-4;2-8,1,1,1,1,1
HCpvbqk,geng_n_le_9,9,4,3,3,4;5;6,3,3,1-4;2-8;3-6,1,1,1,1,1
HCrfbo{,geng_n_le_9,9,4,3,3,0;7;8,3,3,0-3;1-4;2-8,1,1,1,1,1
HEhbtjK,geng_n_le_9,9,4,3,3,1;4;7,3,3,1-3;2-7;4-8,1,1,1,1,1
HEherik,geng_n_le_9,9,4,2,2,2;6,3,3,0-4;1-3;2-5,1,1,1,1,1
HEhethk,geng_n_le_9,9,4,2,2,0;5,3,3,0-4;1-3;2-5,1,1,1,1,1
HEhfcxk,geng_n_le_9,9,4,2,2,3;8,3,3,0-7;1-3;2-8,1,1,1,1,1
HFzf~z{,geng_n_le_9,9,6,3,3,0;1;2,3,3,0-4;1-5;2-3,1,1,1,1,1
HFzvvzm,geng_n_le_9,9,6,2,2,4;5,3,3,3-6;4-7;5-8,1,1,1,1,1
HQhVTh[,geng_n_le_9,9,4,2,2,0;3,4,4,0-7;1-8;3-5;4-6,1,1,1,1,1
HUZ~vzy,geng_n_le_9,9,6,2,2,0;4,4,4,0-5;1-6;2-7;4-8,1,1,1,1,1
HUzvvx},geng_n_le_9,9,6,2,2,3;4,4,4,0-4;1-5;2-7;6-8,1,1,1,1,1
Hs\v~z{,structured_families_n_le_18,9,6,3,3,0;4;5,3,3,1-6;2-7;3-8,1,1,1,1,1
H{S{aSf,structured_families_n_le_18,9,4,3,3,0;4;8,3,3,1-7;2-5;3-6,1,1,1,1,1
H~~~~~~,geng_n_le_9,9,8,1,1,0,4,4,0-1;2-3;4-7;5-6,1,1,1,1,1
ICWNBIODG,structured_families_n_le_18,10,3,3,3,3;5;6,4,4,1-6;2-4;3-8;5-9,1,1,1,1,1
IH`[CpAGg,structured_families_n_le_18,10,3,3,3,2;4;6,4,4,0-4;1-5;2-3;8-9,1,1,1,1,1
IIaHaOq`O,structured_families_n_le_18,10,3,3,3,0;1;6,3,3,0-5;1-7;6-8,1,1,1,1,1
IKC`IrG`_,structured_families_n_le_18,10,3,3,3,2;4;9,4,4,0-9;1-7;2-5;4-8,1,1,1,1,1
IKPH`EKcO,structured_families_n_le_18,10,3,3,3,0;2;4,3,3,0-3;2-7;4-5,1,1,1,1,1
IKo_[dOHG,structured_families_n_le_18,10,3,3,3,0;5;8,3,3,1-4;3-7;5-9,1,1,1,1,1
I[PCHOTE_,structured_families_n_le_18,10,3,3,3,1;6;8,3,3,0-2;4-9;5-8,1,1,1,1,1
I_pT@KoEG,structured_families_n_le_18,10,3,3,3,1;6;8,3,3,1-4;3-8;6-7,1,1,1,1,1
IcGPWpDw?,structured_families_n_le_18,10,3,3,3,0;2;8,4,4,0-1;2-6;3-5;7-8,1,1,1,1,1
IeGWAUaH_,structured_families_n_le_18,10,3,3,3,2;3;6,4,4,0-1;2-4;3-5;6-9,1,1,1,1,1
IgEgqCPgG,structured_families_n_le_18,10,3,3,3,1;4;8,4,4,0-1;3-6;4-5;8-9,1,1,1,1,1
Ii_HgOp`O,structured_families_n_le_18,10,3,3,3,1;5;8,3,3,0-1;5-6;7-8,1,1,1,1,1
IpT@GSS_W,structured_families_n_le_18,10,3,3,3,1;6;8,3,3,0-9;3-4;5-6,1,1,1,1,1
IrOWOMAGW,structured_families_n_le_18,10,3,4,4,2;4;7;8,4,4,0-2;1-4;5-7;8-9,1,1,1,1,1
Ir~v~z~~o,structured_families_n_le_18,10,8,2,2,0;3,4,4,0-6;1-8;2-3;7-9,1,1,1,1,1
IsaBzx{^?,structured_families_n_le_18,10,5,5,5,0;6;7;8;9,5,5,0-3;1-8;2-9;4-6;5-7,1,1,1,1,1
I~~~~~~~w,structured_families_n_le_18,10,9,1,1,0,5,5,0-2;1-6;3-9;4-7;5-8,1,1,1,1,1
J~~~~~~~~~_,structured_families_n_le_18,11,10,1,1,0,5,5,0-7;1-3;2-8;4-9;6-10,1,1,1,1,1
K@HEAoK_KGeO,structured_families_n_le_18,12,3,3,3,1;2;9,4,4,0-10;1-7;3-11;4-8,1,1,1,1,1
K@oadDCEC?_d,structured_families_n_le_18,12,3,3,3,7;8;9,4,4,0-7;1-4;3-9;5-11,1,1,1,1,1
K@p@L?Y@S?i@,structured_families_n_le_18,12,3,3,3,0;3;5,4,4,0-4;3-11;5-6;7-9,1,1,1,1,1
KA@dP`K?S_pA,structured_families_n_le_18,12,3,3,3,1;6;9,4,4,0-10;1-5;4-6;7-9,1,1,1,1,1
KAh?cEoP_WCH,structured_families_n_le_18,12,3,4,4,0;1;6;11,4,4,0-4;3-8;5-9;7-11,1,1,1,1,1
KBGCHV?D?WwC,structured_families_n_le_18,12,3,3,3,7;8;9,4,4,0-6;1-11;2-7;9-10,1,1,1,1,1
KBar?D@ACO_M,structured_families_n_le_18,12,3,3,3,2;4;8,4,4,1-6;3-5;4-10;8-11,1,1,1,1,1
KCO{@UOGI?gP,structured_families_n_le_18,12,3,3,3,0;1;2,4,4,0-8;1-10;2-5;6-7,1,1,1,1,1
KC`q?oaAQDSA,structured_families_n_le_18,12,3,4,4,0;1;7;8,4,4,0-11;1-5;4-7;6-8,1,1,1,1,1
KD?@IYAFAP[?,structured_families_n_le_18,12,3,4,4,0;1;4;6,4,4,1-11;3-9;4-7;6-8,1,1,1,1,1
KGIOR?T_a_pO,structured_families_n_le_18,12,3,3,3,1;5;6,4,4,0-11;1-2;3-8;6-9,1,1,1,1,1
KOEIa?`WGYQO,structured_families_n_le_18,12,3,3,3,5;6;8,4,4,0-5;2-9;3-6;7-10,1,1,1,1,1
KPQIA?acOb@o,structured_families_n_le_18,12,3,3,3,2;7;11,4,4,2-3;4-5;6-8;7-9,1,1,1,1,1
K_MRCDH@?_cB,structured_families_n_le_18,12,3,4,4,1;4;7;9,4,4,0-7;1-6;3-4;9-11,1,1,1,1,1
KiGcG_@DGRPO,structured_families_n_le_18,12,3,4,4,1;4;6;8,4,4,1-2;3-9;6-11;7-10,1,1,1,1,1
Kl`HGuGPHCaL,structured_families_n_le_18,12,4,4,4,0;5;7;10,4,4,0-4;1-9;2-6;7-11,1,1,1,1,1
KoO`?wWc_HGP,structured_families_n_le_18,12,3,4,4,0;6;7;8,4,4,0-1;2-6;3-7;8-10,1,1,1,1,1
KoSOB_aBCD?q,structured_families_n_le_18,12,3,3,3,1;5;8,4,4,0-1;3-7;8-10;9-11,1,1,1,1,1
KpT?GSo?WKOB,structured_families_n_le_18,12,3,4,4,0;3;6;9,4,4,0-11;1-5;3-8;6-7,1,1,1,1,1
KrOWOKA?[@CB,structured_families_n_le_18,12,3,4,4,0;5;6;11,4,4,1-4;2-3;7-9;8-10,1,1,1,1,1
Kr~v~z~~v~~},structured_families_n_le_18,12,10,2,2,0;3,5,5,0-6;3-10;4-9;5-11;7-8,1,1,1,1,1
Ks\v~z{~~~^{,structured_families_n_le_18,12,9,3,3,0;4;5,5,5,0-1;2-11;3-5;4-10;7-9,1,1,1,1,1
Ks`zrr~~v}^w,structured_families_n_le_18,12,8,4,4,0;5;6;7,4,4,0-10;5-9;6-8;7-11,1,1,1,1,1
KsaCB|}^b{No,structured_families_n_le_18,12,6,6,6,0;7;8;9;10;11,6,6,0-1;2-9;3-7;4-11;5-10;6-8,1,1,1,1,1
K~~~~~~~~~~~,structured_families_n_le_18,12,11,1,1,0,6,6,0-10;1-8;2-4;3-11;5-7;6-9,1,1,1,1,1
L~~~~~~~~~~~~~,structured_families_n_le_18,13,12,1,1,0,6,6,0-11;1-6;2-4;3-7;5-8;9-12,1,1,1,1,1
M?D@cH_JAA@P_Gc?_,structured_families_n_le_18,14,3,4,4,0;1;2;4,5,5,2-9;3-13;5-7;8-12;10-11,1,1,1,1,1
M?OaaW_@D@QCAccC?,structured_families_n_le_18,14,3,4,4,6;7;8;13,5,5,1-7;2-10;3-13;8-11;9-12,1,1,1,1,1
MBI?DCGR?CASPA_I?,structured_families_n_le_18,14,3,4,4,0;1;4;6,5,5,1-3;4-9;5-12;6-7;8-13,1,1,1,1,1
MC?XgOgGGAg@oOo@?,structured_families_n_le_18,14,3,4,4,0;2;4;11,5,5,0-3;1-13;2-6;4-8;7-10,1,1,1,1,1
MCOc@AEAQ_c_CoQ@?,structured_families_n_le_18,14,3,4,4,2;6;10;13,5,5,0-3;1-13;2-5;6-8;7-9,1,1,1,1,1
MG?SQoCKCCp?GHPG?,structured_families_n_le_18,14,3,4,4,0;2;4;5,5,5,1-13;3-5;4-6;9-10;11-12,1,1,1,1,1
MG?kO`G_?bAIw?@c?,structured_families_n_le_18,14,3,4,4,2;6;10;11,5,5,2-12;3-7;4-8;6-13;9-11,1,1,1,1,1
MGAac?e?Co@IECOS?,structured_families_n_le_18,14,3,4,4,4;5;6;13,5,5,1-13;3-10;5-8;7-11;9-12,1,1,1,1,1
MGec??QOOID@CKOo?,structured_families_n_le_18,14,3,4,4,0;11;12;13,5,5,2-5;4-11;6-8;7-13;9-12,1,1,1,1,1
MI_C?Q_F?ICPPGCo?,structured_families_n_le_18,14,3,4,4,0;2;5;13,5,5,0-8;1-12;3-9;6-11;7-10,1,1,1,1,1
MI_o?rA?_W?QGE_P?,structured_families_n_le_18,14,3,4,4,1;6;10;13,5,5,1-8;3-5;4-10;9-12;11-13,1,1,1,1,1
MJ?@_HHa?KP??F`O?,structured_families_n_le_18,14,3,4,4,1;4;10;13,5,5,0-9;1-3;4-11;6-10;7-13,1,1,1,1,1
MKAG_DDW@?r?A_?Q_,structured_families_n_le_18,14,3,4,4,0;2;7;12,5,5,1-9;3-6;4-11;5-8;10-13,1,1,1,1,1
MOT@?o@cA@_SH@`_?,structured_families_n_le_18,14,3,4,4,0;1;7;11,5,5,0-2;3-4;5-12;6-13;8-10,1,1,1,1,1
MQQ?GoA?[GECOcIA?,structured_families_n_le_18,14,3,4,4,0;4;11;12,5,5,0-10;3-7;4-13;6-12;8-11,1,1,1,1,1
MQoc@cOAA?_P@K@H?,structured_families_n_le_18,14,3,4,4,1;2;11;12,5,5,1-4;2-5;6-7;8-12;10-11,1,1,1,1,1
MWS?_K?@KDM?BG_S?,structured_families_n_le_18,14,3,4,4,6;11;12;13,5,5,0-13;1-11;3-6;5-12;8-9,1,1,1,1,1
M_CQ?G_`HQWCGoE_?,structured_families_n_le_18,14,3,4,4,5;6;10;11,5,5,0-1;3-4;6-12;7-10;8-9,1,1,1,1,1
M_J_d@??_S?LCKEC?,structured_families_n_le_18,14,3,4,4,0;4;6;8,5,5,1-5;2-4;3-12;6-9;7-11,1,1,1,1,1
M`?oMOo?G?pOAaOE?,structured_families_n_le_18,14,3,4,4,0;2;9;12,5,5,0-1;2-3;4-11;5-6;9-10,1,1,1,1,1
M`C?WKDCB?`Cg@oC?,structured_families_n_le_18,14,3,4,4,2;4;5;13,5,5,0-1;2-3;4-11;5-7;9-13,1,1,1,1,1
MgAH_IWKa??HA@?Q_,structured_families_n_le_18,14,3,4,4,1;3;5;12,5,5,1-10;2-6;3-8;5-7;11-12,1,1,1,1,1
MoA@OoOCGI?qWGQA?,structured_families_n_le_18,14,3,4,4,2;3;11;13,5,5,1-13;2-6;4-7;5-10;8-9,1,1,1,1,1
MpT?GSO?XC?B@G_@_,structured_families_n_le_18,14,3,5,5,2;4;6;9;12,5,5,0-1;2-3;5-12;6-7;9-11,1,1,1,1,1
MrOWOKA?W@?B_AG@_,structured_families_n_le_18,14,3,4,4,0;3;6;11,5,5,0-1;2-13;4-5;7-9;8-10,1,1,1,1,1
Mr~v~z~~v~~}~~~~?,structured_families_n_le_18,14,12,2,2,0;3,6,6,0-13;3-12;4-10;5-11;6-9;7-8,1,1,1,1,1
MsaCC@~^r}Nw^o^o?,structured_families_n_le_18,14,7,7,7,0;8;9;10;11;12;13,7,7,0-2;1-12;3-9;4-13;5-10;6-11;7-8,1,1,1,1,1
M|??OOS@?I`OOH?s?,structured_families_n_le_18,14,3,4,4,1;3;4;9,5,5,1-12;2-3;5-9;6-11;7-10,1,1,1,1,1
M~~~~~~~~~~~~~~~_,structured_families_n_le_18,14,13,1,1,0,7,7,0-12;1-9;2-10;3-7;4-5;6-13;8-11,1,1,1,1,1
NheAHCPBKGGPGPCG`BG,structured_families_n_le_18,15,4,5,5,0;2;8;11;14,5,5,0-5;2-12;3-8;6-11;9-14,1,1,1,1,1
Ns\v~z{~~~^{~~~~^~_,structured_families_n_le_18,15,12,3,3,0;4;5,6,6,0-11;4-13;5-6;7-9;8-12;10-14,1,1,1,1,1
NsaBzx{^F~~}~{~{^}?,structured_families_n_le_18,15,10,5,5,0;6;7;8;9,5,5,0-3;1-6;2-9;4-7;5-8,1,1,1,1,1
Nsee?[rTRQERB`TIlEO,structured_families_n_le_18,15,6,3,3,4;11;13,5,5,1-10;2-8;3-4;5-9;6-12,1,1,1,1,1
N~~~~~~~~~~~~~~~~~w,structured_families_n_le_18,15,14,1,1,0,7,7,0-10;1-5;2-9;3-11;4-7;6-14;8-12,1,1,1,1,1
O?GU@`C_??dOSAAC?dCAA,structured_families_n_le_18,16,3,5,5,0;2;8;12;13,5,5,0-6;2-7;4-13;5-8;10-12,1,1,1,1,1
O?OCG?gST?ODEOHOA_AC@,structured_families_n_le_18,16,3,5,5,0;1;2;12;14,6,6,0-6;1-15;3-14;4-8;7-13;10-11,1,1,1,1,1
O?YCad?@@?_c?IGCQ?GOK,structured_families_n_le_18,16,3,5,5,4;6;11;12;13,5,5,1-4;5-11;6-7;10-12;13-14,1,1,1,1,1
O?`?_U?BH_S?GOP_?Cq_O,structured_families_n_le_18,16,3,4,4,0;3;5;12,5,5,2-11;3-15;4-7;5-13;8-14,1,1,1,1,1
O?`?p?UGCAGAASP@O@@_@,structured_families_n_le_18,16,3,5,5,2;4;8;11;14,5,5,1-13;2-9;3-8;4-12;10-14,1,1,1,1,1
O@DG??[?sC?@oO_DCObA?,structured_families_n_le_18,16,3,5,5,2;4;6;12;13,6,6,0-13;1-5;2-14;4-8;6-10;7-9,1,1,1,1,1
O@O@a?C@CPOCB@?sEGE?_,structured_families_n_le_18,16,3,5,5,0;1;5;6;14,5,5,0-15;2-3;4-12;5-8;7-13,1,1,1,1,1
OC@F?@@E?oC_GSaO?__@P,structured_families_n_le_18,16,3,5,5,0;4;5;12;15,6,6,0-3;2-6;4-9;5-14;7-13;8-15,1,1,1,1,1
OGE_He?QK@I??`A??@G?F,structured_families_n_le_18,16,3,4,4,2;4;10;12,5,5,0-8;1-2;3-4;6-12;14-15,1,1,1,1,1
OGO?We?i?A?`c@OGAc@?Q,structured_families_n_le_18,16,3,5,5,2;6;8;10;12,5,5,0-8;1-4;2-15;3-7;5-11,1,1,1,1,1
OG_?iOoO??_YCA@IT?CGC,structured_families_n_le_18,16,3,5,5,1;4;6;13;15,5,5,0-4;1-2;3-12;5-13;9-11,1,1,1,1,1
OG_K_?EK@AGG_GACiG?GW,structured_families_n_le_18,16,3,5,5,2;6;13;14;15,6,6,0-4;1-14;5-15;6-8;7-10;9-13,1,1,1,1,1
OIAK??GCOJ?W_@I?m??D_,structured_families_n_le_18,16,3,4,4,3;6;10;13,5,5,0-5;1-3;2-13;7-11;8-15,1,1,1,1,1
OIOG?OQG?DCa__`OQG??s,structured_families_n_le_18,16,3,4,4,0;4;8;9,6,6,0-12;1-3;2-9;5-13;7-14;8-10,1,1,1,1,1
OOA_cKAQB_??A@AHGA_`C,structured_families_n_le_18,16,3,5,5,2;4;7;14;15,6,6,0-2;1-10;4-9;6-7;8-15;11-13,1,1,1,1,1
OOCi?_Bg_?ACR?OA?Hc?Q,structured_families_n_le_18,16,3,5,5,0;3;6;10;12,6,6,0-2;3-11;5-12;6-9;7-14;10-13,1,1,1,1,1
OOHG_c?aHA?C?`OBW_?`C,structured_families_n_le_18,16,3,4,4,1;2;6;8,6,6,0-2;1-13;3-15;4-5;6-7;8-11,1,1,1,1,1
OPAOOSP_?G_?ODQ@GS@?W,structured_families_n_le_18,16,3,5,5,0;1;4;8;15,5,5,0-9;1-14;3-5;4-7;11-15,1,1,1,1,1
OQC?GSGW?GW_GKc??X?@Q,structured_families_n_le_18,16,3,5,5,2;8;11;13;14,5,5,0-11;3-4;6-7;9-12;10-15,1,1,1,1,1
OT?O?DCI?S@@OO_S?CqK?,structured_families_n_le_18,16,3,5,5,1;3;6;11;13,5,5,1-15;2-3;4-10;7-13;8-14,1,1,1,1,1
O_C?GdQOCO_?_PJ?C_`?g,structured_families_n_le_18,16,3,4,4,0;3;5;15,5,5,1-8;2-15;4-10;5-14;7-12,1,1,1,1,1
O`?t?@GCQ?_kA_?A`?KA@,structured_families_n_le_18,16,3,5,5,0;5;8;9;13,5,5,0-6;3-5;4-8;7-15;10-13,1,1,1,1,1
Okg?_G?T??C@AP@W?T?DO,structured_families_n_le_18,16,3,5,5,2;3;10;12;13,6,6,0-1;2-11;5-9;6-15;7-12;8-14,1,1,1,1,1
Ol`HGsG@GC_L_GOCc@G_L,structured_families_n_le_18,16,4,4,4,0;6;8;14,6,6,0-1;2-14;5-6;7-11;8-9;12-15,1,1,1,1,1
OpP?GoGGGEA_?E?g??s?B,structured_families_n_le_18,16,3,4,4,0;8;10;11,6,6,0-15;2-9;4-7;5-11;6-13;10-12,1,1,1,1,1
OpT?GSO?WC?BGG?@_`C?B,structured_families_n_le_18,16,3,5,5,0;4;5;8;11,6,6,0-15;1-5;2-12;3-8;6-7;10-11,1,1,1,1,1
Oq?R@?I????Me?@E@B?IO,structured_families_n_le_18,16,3,4,4,6;9;12;15,6,6,0-12;1-6;4-14;5-15;7-11;9-13,1,1,1,1,1
OrOWOKA?W@?B?A?@o?P?B,structured_families_n_le_18,16,3,4,4,2;4;9;12,6,6,0-14;1-4;2-3;6-7;8-10;11-13,1,1,1,1,1
Or~v~z~~v~~}~~~~^~~~},structured_families_n_le_18,16,14,2,2,0;3,7,7,0-1;2-13;3-12;4-7;5-9;6-10;8-11,1,1,1,1,1
Os`zrr~~v}^w~~~~^~f~w,structured_families_n_le_18,16,12,4,4,0;5;6;7,6,6,0-3;1-6;2-14;4-12;5-15;7-13,1,1,1,1,1
OsaCCA?^z~N{^w^wN{B~?,structured_families_n_le_18,16,8,8,8,0;9;10;11;12;13;14;15,8,8,0-3;1-13;2-9;4-10;5-12;6-14;7-15;8-11,1,1,1,1,1
O~~~~~~~~~~~~~~~~~~~~,structured_families_n_le_18,16,15,1,1,0,8,8,0-14;1-9;2-11;3-4;5-8;6-7;10-15;12-13,1,1,1,1,1
P~~~~~~~~~~~~~~~~~~~~~~{,structured_families_n_le_18,17,16,1,1,0,8,8,0-8;1-15;3-4;5-12;6-14;7-10;9-11;13-16,1,1,1,1,1
Q???Oa_@QGA_Y?OEAOCD?i??@C_,structured_families_n_le_18,18,3,6,6,0;6;7;11;12;13,7,7,0-8;2-16;4-12;5-11;6-14;7-17;10-13,1,1,1,1,1
Q??EDQS??gB?OCA?K?GCc?DOcG?,structured_families_n_le_18,18,3,5,5,0;11;12;13;17,6,6,0-7;1-14;3-11;4-13;5-17;9-15,1,1,1,1,1
Q?@@_?@@sAB?Q?O@C?\O?@IAO_?,structured_families_n_le_18,18,3,5,5,3;5;7;14;15,6,6,0-15;3-6;5-16;7-8;11-13;12-14,1,1,1,1,1
Q?_?GPC_CA_aC@G_M?Ac?AG_`@?,structured_families_n_le_18,18,3,5,5,2;10;11;15;16,6,6,0-9;2-14;6-15;7-17;8-16;11-12,1,1,1,1,1
Q?`@?HGCP?ACAQC_?`E?Ag?GAS?,structured_families_n_le_18,18,3,5,5,1;3;6;12;16,6,6,0-15;2-6;3-9;5-14;8-11;10-12,1,1,1,1,1
Q@?CGA?GkOH??O?RI?Qg?HO?Ga?,structured_families_n_le_18,18,3,5,5,0;2;11;12;15,6,6,1-14;2-3;4-10;5-6;7-13;8-17,1,1,1,1,1
QA@cG?@CGRG?G??@q?GSGGCaH??,structured_families_n_le_18,18,3,5,5,0;1;8;12;15,6,6,3-14;4-17;5-6;7-8;11-15;12-16,1,1,1,1,1
QAFD??@_?A@@Gc?QCCG_gAG@C?G,structured_families_n_le_18,18,3,5,5,0;2;3;10;16,6,6,1-5;2-6;4-11;7-13;8-16;9-15,1,1,1,1,1
QAGc?X?K?_O_?b?g?C?Q@?AZ?O?,structured_families_n_le_18,18,3,5,5,0;2;8;10;15,6,6,1-17;2-4;3-10;5-11;6-13;14-15,1,1,1,1,1
QAIO@?CGQ`?AO__?oS?QGA@?A@G,structured_families_n_le_18,18,3,5,5,0;7;10;12;16,7,7,0-14;1-10;2-9;5-8;7-15;12-13;16-17,1,1,1,1,1
QCI?@Cg?O?_c@AO@i?CS?Cc@?G_,structured_families_n_le_18,18,3,5,5,0;1;6;8;10,6,6,1-13;2-4;3-14;5-11;6-15;9-10,1,1,1,1,1
QCOK?GOOPC?CI?@I?GOc_o@?_C_,structured_families_n_le_18,18,3,5,5,0;9;12;13;17,6,6,0-16;2-10;4-5;8-11;9-15;14-17,1,1,1,1,1
QDAG?C?PAD?IA_GGOGI?CAH?o?O,structured_families_n_le_18,18,3,5,5,0;2;10;11;12,6,6,1-15;2-3;5-9;6-12;7-14;8-16,1,1,1,1,1
QDO_?C?OWT?GA__@W?P?ID??C_G,structured_families_n_le_18,18,3,5,5,0;1;6;15;17,6,6,0-3;1-9;4-12;5-17;6-10;11-15,1,1,1,1,1
QGA?sGOWA?c?a??p?@_?DBG?O_O,structured_families_n_le_18,18,3,5,5,2;4;7;10;17,6,6,0-7;1-10;2-11;3-6;8-16;12-15,1,1,1,1,1
QO??_Q_?u?HAD?@_?D@_CA?XD??,structured_families_n_le_18,18,3,5,5,1;7;8;12;13,6,6,0-2;1-11;6-13;7-17;12-15;14-16,1,1,1,1,1
QO?O_F?AO??D?sG@A_IOOR?A_G?,structured_families_n_le_18,18,3,5,5,4;7;8;14;17,6,6,1-8;2-17;3-5;4-15;7-12;11-13,1,1,1,1,1
